GEOID,NAME,sex,estimate,summary_est,percent
01,Alabama,male,1878392,3917450,0.479493548098891
01,Alabama,female,2039058,3917450,0.520506451901109
02,Alaska,male,294462,555483,0.530100831168551
02,Alaska,female,261021,555483,0.469899168831449
04,Arizona,male,2773826,5578819,0.497206666859061
04,Arizona,female,2804993,5578819,0.502793333140939
05,Arkansas,male,1134120,2321401,0.488549802468423
05,Arkansas,female,1187281,2321401,0.511450197531577
06,California,male,15213846,30581534,0.497484723951389
06,California,female,15367688,30581534,0.502515276048612
08,Colorado,male,2291276,4529480,0.505858509144538
08,Colorado,female,2238204,4529480,0.494141490855462
09,Connecticut,male,1389938,2868440,0.484562340505641
09,Connecticut,female,1478502,2868440,0.515437659494359
10,Delaware,male,377945,786933,0.480275957419501
10,Delaware,female,408988,786933,0.519724042580499
11,District of Columbia,male,257886,546531,0.471859784714865
11,District of Columbia,female,288645,546531,0.528140215285135
12,Florida,male,8479837,17399100,0.487372162927968
12,Florida,female,8919263,17399100,0.512627837072032
13,Georgia,male,3959735,8209780,0.482319258250526
13,Georgia,female,4250045,8209780,0.517680741749475
15,Hawaii,male,574413,1145270,0.501552472342766
15,Hawaii,female,570857,1145270,0.498447527657234
16,Idaho,male,700251,1399330,0.50041877184081
16,Idaho,female,699079,1399330,0.49958122815919
17,Illinois,male,4870285,9937157,0.490108488776015
17,Illinois,female,5066872,9937157,0.509891511223985
18,Indiana,male,2558293,5206942,0.491323506196151
18,Indiana,female,2648649,5206942,0.508676493803849
19,Iowa,male,1224164,2458518,0.497927613301997
19,Iowa,female,1234354,2458518,0.502072386698003
20,Kansas,male,1114726,2234510,0.498868208242523
20,Kansas,female,1119784,2234510,0.501131791757477
21,Kentucky,male,1714155,3491455,0.49095720838447
21,Kentucky,female,1777300,3491455,0.50904279161553
22,Louisiana,male,1721784,3557969,0.483923271956557
22,Louisiana,female,1836185,3557969,0.516076728043443
23,Maine,male,545204,1116133,0.488475835765093
23,Maine,female,570929,1116133,0.511524164234908
24,Maryland,male,2307872,4801413,0.480665170856996
24,Maryland,female,2493541,4801413,0.519334829143004
25,Massachusetts,male,2718440,5617189,0.483950246288669
25,Massachusetts,female,2898749,5617189,0.516049753711331
26,Michigan,male,3890492,7908457,0.491940716121995
26,Michigan,female,4017965,7908457,0.508059283878006
27,Minnesota,male,2189306,4388208,0.498906615183237
27,Minnesota,female,2198902,4388208,0.501093384816763
28,Mississippi,male,1085881,2267770,0.478832068507829
28,Mississippi,female,1181889,2267770,0.521167931492171
29,Missouri,male,2333741,4779947,0.488235748220639
29,Missouri,female,2446206,4779947,0.511764251779361
30,Montana,male,434782,860493,0.505270815683567
30,Montana,female,425711,860493,0.494729184316433
31,Nebraska,male,737884,1478504,0.499074740413283
31,Nebraska,female,740620,1478504,0.500925259586717
32,Nevada,male,1215598,2415125,0.503327156979452
32,Nevada,female,1199527,2415125,0.496672843020548
33,New Hampshire,male,558485,1123422,0.497128416570087
33,New Hampshire,female,564937,1123422,0.502871583429913
34,New Jersey,male,3524824,7233502,0.487291494493262
34,New Jersey,female,3708678,7233502,0.512708505506738
35,New Mexico,male,810902,1638985,0.494758646357349
35,New Mexico,female,828083,1638985,0.505241353642651
36,New York,male,7666589,15865936,0.483210634405685
36,New York,female,8199347,15865936,0.516789365594315
37,North Carolina,male,3964388,8186326,0.484269500139623
37,North Carolina,female,4221938,8186326,0.515730499860377
38,North Dakota,male,305104,594141,0.513521201196349
38,North Dakota,female,289037,594141,0.486478798803651
39,Ohio,male,4487124,9181361,0.488721007702453
39,Ohio,female,4694237,9181361,0.511278992297547
40,Oklahoma,male,1494058,3020053,0.494712510012242
40,Oklahoma,female,1525995,3020053,0.505287489987759
41,Oregon,male,1673259,3373396,0.496016180727077
41,Oregon,female,1700137,3373396,0.503983819272923
42,Pennsylvania,male,5044837,10324646,0.488620820510456
42,Pennsylvania,female,5279809,10324646,0.511379179489544
44,Rhode Island,male,430251,885926,0.485651171768297
44,Rhode Island,female,455675,885926,0.514348828231703
45,South Carolina,male,1945506,4038823,0.481701228303394
45,South Carolina,female,2093317,4038823,0.518298771696606
46,South Dakota,male,341151,673730,0.506361598860078
46,South Dakota,female,332579,673730,0.493638401139923
47,Tennessee,male,2620518,5397292,0.485524592703156
47,Tennessee,female,2776774,5397292,0.514475407296844
48,Texas,male,10846487,21847214,0.496470030457888
48,Texas,female,11000727,21847214,0.503529969542112
49,Utah,male,1183697,2347812,0.504170265762335
49,Utah,female,1164115,2347812,0.495829734237665
50,Vermont,male,259596,526999,0.49259296507204
50,Vermont,female,267403,526999,0.50740703492796
51,Virginia,male,3306075,6747685,0.489956925967943
51,Virginia,female,3441610,6747685,0.510043074032057
53,Washington,male,3025293,6025552,0.502077320053001
53,Washington,female,3000259,6025552,0.497922679946999
54,West Virginia,male,709831,1433183,0.495282877343647
54,West Virginia,female,723352,1433183,0.504717122656353
55,Wisconsin,male,2297714,4612987,0.498096786312209
55,Wisconsin,female,2315273,4612987,0.501903213687791
56,Wyoming,male,227928,445576,0.511535630285294
56,Wyoming,female,217648,445576,0.488464369714706
72,Puerto Rico,male,1262744,2706206,0.466610450202239
72,Puerto Rico,female,1443462,2706206,0.533389549797761
