ethnicity,mean,median,lower,upper
asian,0.683530294151904,0.683486138268443,0.661623711260212,0.70429299830759
black,0.558547629813257,0.558049314679144,0.543079008627066,0.574633937293619
hispanic,0.670052583088268,0.669891604069001,0.650765961393829,0.691078009188666
other,0.619690144018152,0.619676239999436,0.605137395498591,0.635892374186652
white,0.61406150809629,0.613835860170757,0.604864879940856,0.623502270068693
